Address Number,Alpha Name,Or Ty,Contract Number,Fund ,Fund,Cst Ctr / Job,Cost Center / Job,Obj Acct,Obj Account Description,2nd Item Number,2nd Item Number,Extended Price,Amount Received,Amount Open
275320,"EYTH, ANTOINETTE N.",OS,48870,78535,ETHICS BOARD TRUST FUND,      108000,LAW,90105,TRUST & AGENCY,1154,PROFESSIONAL SERVICES,"2,482.50",0.00,"2,482.50"
279571,COMMUNITY COLLEGE OF ALLEGHENY COUNTY,OS,48928,28050,SENIOR CITIZENS PROG TF,      500000,PARKS AND RECREATION,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"3,900.01",0.00,"3,900.01"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,49397,40011,CAPITAL PROJECTS - 2006 BOND,  4431011040,BRIDGE INSPECTION PROGRAM,53901,PROFESSIONAL SERVICES - CONVER,1154,PROFESSIONAL SERVICES,"2,672.23",0.00,"2,672.23"
297403,ERIC RYAN CORPORATION,OS,49554,28085,GREEN INITIATIVE TRUST FUND,  1020288500,GREEN INITIATIVE TRUST FUND,53501,AUDITING & ACCOUNTING SERVICE,1512,SHARED SAVINGS PERCENTAGE,"59,310.00",0.00,"59,310.00"
63731,HILLTOP ALLIANCE,OS,49538,26010,CDBG FUND,  0221450040,OPERATION WEED & SEED,58101,GRANTS,5146,18B.CDBG,"10,000.00",0.00,"10,000.00"
72830,"FOSSIL FREE FUEL, LLC",OS,49616,40011,CAPITAL PROJECTS - 2006 BOND,  1226735309,AUTOMATED FUEL DISPENSING SYST,56301,PARTS,553000,MATERIALS-PARTS-REPLACEMENT,"5,000.00",0.00,"5,000.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48122,40011,CAPITAL PROJECTS - 2006 BOND,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,250.00",0.00,"1,250.00"
81009,"MS CONSULTANTS, INC.",OS,49638,29072,GRANT-BROAD STREET CONVERSION,  4467399110,ARCHITECTURAL ENGINEERING SERV,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","50,000.00",0.00,"50,000.00"
307710,NORTH HILLS COMMUNITY OUTREACH,OS,47944,26090,HPRP,  1100269000,HPRP,58101,GRANTS,1637,HOMELESS PREVENTION,"5,496.16",0.00,"5,496.16"
307901,"THREE RIVERS COMMUNITIES, INC.",OS,47956,26090,HPRP,  1100269000,HPRP,58101,GRANTS,1637,HOMELESS PREVENTION,"54,614.15",0.00,"54,614.15"
4523,URBAN LEAGUE OF GREATER PITTSBURGH,OS,47946,26090,HPRP,  1100269000,HPRP,58101,GRANTS,1637,HOMELESS PREVENTION,"3,604.46",0.00,"3,604.46"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,45133,26010,CDBG FUND,  4033041060,PENN AVE DESIGN,53701,REPAIRS,5088,03K.CDBG,"14,600.00",0.00,"14,600.00"
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40001,CAP PROJ - PROJ FUND,  4026722208,CBD SIGNAL UPGRADES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","129,636.16",0.00,"129,636.16"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,49800,40012,Project Fund-2012 Bond,  4022006012,DISABLED & PUBLIC SIDEWALK PRO,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","13,776.57",0.00,"13,776.57"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48956,26010,CDBG FUND,  4033052060,SOUTH HIGHLAND AVE BRIDGE,58101,GRANTS,5088,03K.CDBG,"1,500.00",0.00,"1,500.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,47190,40011,CAPITAL PROJECTS - 2006 BOND,  4026722207,CBD SIGNAL UPGRADES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","2,000.00",0.00,"2,000.00"
313036,WESTMORELAND SUPPLY,OS,49062,40001,CAP PROJ - PROJ FUND,  4424573303,LINCOLN PLACE REC. CENTER,53701,REPAIRS,1242,"MAINT. ,REPAIR &  OPERATIONAL",882.00,0.00,882.00
67328,URA OF PITTSBURGH,OS,49884,26010,CDBG FUND,  8267288120,NEIGHBORHOOD BUSI ECON DEVELOP,58101,GRANTS,566100,GRANTS-COMMUNITY,"350,000.00",0.00,"350,000.00"
208474,"GROUND TECHNOLOGY, INC.",OS,46464,40012,Project Fund-2012 Bond,  4024500011,PARK RECONSTRUCTION PROG- EC,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","25,000.00",0.00,"25,000.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,49987,40011,CAPITAL PROJECTS - 2006 BOND,  4026743911,MC FARREN ST/9 MILE RUN BRIDGE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,250.00",0.00,"1,250.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,44021,40011,CAPITAL PROJECTS - 2006 BOND,  4026734609,BROOKLINE BLVD.,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","13,000.00",0.00,"13,000.00"
208474,"GROUND TECHNOLOGY, INC.",OS,46464,40012,Project Fund-2012 Bond,  4024500011,PARK RECONSTRUCTION PROG- EC,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","15,764.54",0.00,"15,764.54"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,45133,26010,CDBG FUND,  4033041060,PENN AVE DESIGN,58101,GRANTS,5088,03K.CDBG,"20,600.00",0.00,"20,600.00"
55247,BLOOMFIELD CITIZENS COUNCIL,OS,50095,26010,CDBG FUND,  0229864080,BLOOMFIELD CITIZENS COUNCIL,58101,GRANTS,5100,05.CDBG,"3,000.00",0.00,"3,000.00"
107576,"PLAVCHAK CONSTRUCTION CO., INC.",OS,49731,40012,Project Fund-2012 Bond,  4024500009,PARK RECONSTRUCTION PROGRAM,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL",581.36,0.00,581.36
178870,POINT BREEZE NORTH DEVELOPMENT CORP./,OS,50147,40001,CAP PROJ - PROJ FUND,  0141009012,DISTRICT 9 NEIGHBORHOOD NEEDS,58101,GRANTS,566000,GRANTS,"10,000.00",0.00,"10,000.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50161,40012,Project Fund-2012 Bond,  4022006012,DISABLED & PUBLIC SIDEWALK PRO,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,702.40",0.00,"5,702.40"
307640,"GRANICUS, INC.",OS,48279,11101,GENERAL FUND,      101200,CITY CLERK,53509,COMPUTER MAINTANACE,5030,SUPPORT,"24,525.00",0.00,"24,525.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50200,40012,Project Fund-2012 Bond,  4022006012,DISABLED & PUBLIC SIDEWALK PRO,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","18,349.68",0.00,"18,349.68"
19226,"MATCON DIAMOND, INC.",OS,50247,40012,Project Fund-2012 Bond,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","396,081.48",0.00,"396,081.48"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48122,40011,CAPITAL PROJECTS - 2006 BOND,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,750.00",0.00,"1,750.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50238,40012,Project Fund-2012 Bond,  4023101112,BRIDGE REPAIRS,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","1,250.00",0.00,"1,250.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50229,40011,CAPITAL PROJECTS - 2006 BOND,  4426722211,CBD SIGNAL UPGRADES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
215079,DUQUESNE LIGHT CO.,OS,50298,40012,Project Fund-2012 Bond,  4023520013,NEIGHBORHOOD STREET IMPROVEMEN,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","47,737.68",0.00,"47,737.68"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50334,40012,Project Fund-2012 Bond,  4026736213,"RECON FORBES AVE, PHASE 1B",54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,000.00",0.00,"5,000.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50364,40012,Project Fund-2012 Bond,  4026745212,CITY SIGNAL UPDATE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,000.00",0.00,"5,000.00"
302,GOODWILL OF SOUTHWESTERN PENNSYLVANIA,OS,49942,23000,JTPA,  1090230000,JTPA,58101,GRANTS,5048,GRANT -JOB DEVELOPMENT,"14,885.90",0.00,"14,885.90"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48815,40012,Project Fund-2012 Bond,  4026729413,PROJECT MANAGEMENT SERVICES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","4,000.00",0.00,"4,000.00"
312307,"UPMC BENEFITS MGMT. SVCS., INC. d/b/a",OS,48473,78170,VEBA-WORKERS' COMP,      999300,NONDEPARTMENTAL - PERSONNEL RE,52301,MEDICAL - W/C,1631,WORKERS COMP,"680,990.28",0.00,"680,990.28"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,46541,26010,CDBG FUND,  4033059090,WEST OHIO STREET BRIDGE,58101,GRANTS,5077,03.CDBG,"3,750.00",0.00,"3,750.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,44021,40011,CAPITAL PROJECTS - 2006 BOND,  4026734609,BROOKLINE BLVD.,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","13,000.00",0.00,"13,000.00"
309958,"OKOYE, CLEMENT",OS,49228,28050,SENIOR CITIZENS PROG TF,      500000,PARKS AND RECREATION,54501,LAND & BUILDINGS,1154,PROFESSIONAL SERVICES,"36,900.00",0.00,"36,900.00"
20142,PUGLIANO CONSTRUCTION CO. INC.,OS,49545,26010,CDBG FUND,  5026735509,SPLASH ZONES,58101,GRANTS,5077,03.CDBG,"6,036.00",0.00,"6,036.00"
320657,"MCTISH, KUNKEL & ASSOCIATES",OS,49507,40011,CAPITAL PROJECTS - 2006 BOND,  4023305206,SOUTH HIGHLAND AVENUE BRIDGE,53701,REPAIRS,1419,"MAINT. ,REPAIR &  OPERATIONAL","13,164.39",0.00,"13,164.39"
7706,ALLEGHENY CITY ELECTRIC,OS,49781,40012,Project Fund-2012 Bond,  4023101112,BRIDGE REPAIRS,54207,CONSTRUCTION,1242,"MAINT. ,REPAIR &  OPERATIONAL","1,132.90",0.00,"1,132.90"
244081,"SOFTWARE SYSTEMS, INC.",OS,50609,23000,JTPA,  1090230000,JTPA,53509,COMPUTER MAINTANACE,5018,SOFTWARE DEVELOPMENT/MAINTENAN,"13,450.00",0.00,"13,450.00"
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40114,TIP PROJECTS,  4026722208,CBD SIGNAL UPGRADES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","109,631.40",0.00,"109,631.40"
245981,PASHEK ASSOCIATES,OS,50679,40012,Project Fund-2012 Bond,  4026739913,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
155852,TRANS ASSOCIATES ENGINEERING CONSULTANTS,OS,46939,40114,TIP PROJECTS,  4026722208,CBD SIGNAL UPGRADES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","115,818.19",0.00,"115,818.19"
247716,"RENAISSANCE 3 ARCHITECTS, P.C.",OS,50708,40012,Project Fund-2012 Bond,  4026739913,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
321202,MOSHIER STUDIO,OS,50715,40012,Project Fund-2012 Bond,  4026739913,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
247134,AE WORKS LTD,OS,50767,40012,Project Fund-2012 Bond,  4026739913,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
7265,FINEVIEW CITIZENS COUNCIL,OS,50789,40001,CAP PROJ - PROJ FUND,  0141006012,DISTRICT 6 NEIGHBORHOOD NEEDS,58101,GRANTS,566100,GRANTS-COMMUNITY,"2,750.00",0.00,"2,750.00"
249164,ASTORINO,OS,50792,40012,Project Fund-2012 Bond,  4026739913,ARCHITECTURAL ENGINEERING SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","10,000.00",0.00,"10,000.00"
19226,"MATCON DIAMOND, INC.",OS,50247,40001,CAP PROJ - PROJ FUND,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","107,350.37",0.00,"107,350.37"
19226,"MATCON DIAMOND, INC.",OS,50247,40014,2014 PAYGO,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","26,529.77",0.00,"26,529.77"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,46541,26010,CDBG FUND,  4033059090,WEST OHIO STREET BRIDGE,58101,GRANTS,5077,03.CDBG,"2,750.00",0.00,"2,750.00"
302486,HITACHI DATA SYSTEMS CORPORATION,OS,47794,40014,2014 PAYGO,  2326744912,POLICE STATION SECURITY CAMERA,57501,MACHINERY AND EQUIPMENT,533300,SUPPLIES-OPERATIONAL,"60,000.00",0.00,"60,000.00"
58939,CDR MAGUIRE INC,OS,48830,29040,GRANTS FUND,  4026729412,PROJECT MANAGEMENT SERVICES,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","66,039.00",0.00,"66,039.00"
27983,D'APPOLONIA ENGINEERING,OS,50918,40012,Project Fund-2012 Bond,  4039103110,SLOPE FAILURE REMEDIATION,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","100,000.00",0.00,"100,000.00"
27983,D'APPOLONIA ENGINEERING,OS,50918,40012,Project Fund-2012 Bond,  4039103110,SLOPE FAILURE REMEDIATION,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","13,179.79",0.00,"13,179.79"
27983,D'APPOLONIA ENGINEERING,OS,50918,40014,2014 PAYGO,  4039103110,SLOPE FAILURE REMEDIATION,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","36,820.21",0.00,"36,820.21"
273228,"SHUMAC, JAMES A & MARY ELIZABETH",OS,50957,40012,Project Fund-2012 Bond,  4026737710,HDR for Greenfield Ave Bridge,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL",2.00,0.00,2.00
273199,"BOUVY, GAIL E",OS,50958,40011,CAPITAL PROJECTS - 2006 BOND,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL",2.00,0.00,2.00
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,50138,29040,GRANTS FUND,  4026740112,BIKE INFRASTRUCTURE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","120,000.00",0.00,"120,000.00"
30769,"SWANK MOTION PICTURE, INC.",OS,51077,28004,ARAD-PARKS,  5000280400,ARAD-PARKS,56151,OPERATIONAL SUPPLIES,1360,RENTAL (PROPERTIES & EQUIPMENT,"10,000.00",0.00,"10,000.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,51155,40015,Project Fund 2015 Bond Issue,  4030092015,PENNDOT LOCAL SHARE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","67,149.00",0.00,"67,149.00"
266091,NORFOLK SOUTHERN RAILWAY CO.,OS,51141,40012,Project Fund-2012 Bond,  4023101112,BRIDGE REPAIRS,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","26,421.00",0.00,"26,421.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48122,40011,CAPITAL PROJECTS - 2006 BOND,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","4,785.40",0.00,"4,785.40"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48122,40012,Project Fund-2012 Bond,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL",182.98,0.00,182.98
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,48122,40114,TIP PROJECTS,  4026737610,GREENFIELD AVENUE BRIDGE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","19,531.62",0.00,"19,531.62"
5864,EAST ALLEGHENY COMMUNITY COUNCIL,OS,51206,40001,CAP PROJ - PROJ FUND,  0141001012,DISTRICT 1 NEIGHBORHOOD NEEDS,58101,GRANTS,566000,GRANTS,"5,500.00",0.00,"5,500.00"
234510,"EDOCS TECHNOLOGIES, LLC",OS,51228,11101,GENERAL FUND,      103000,INNOVATION & PERFORMANCE,57501,MACHINERY AND EQUIPMENT,542900,EQUIPMENT-OFFICE,"3,800.00",0.00,"3,800.00"
234510,"EDOCS TECHNOLOGIES, LLC",OS,51228,24046,MICROFILM PERMIT PLANS TF,      103000,INNOVATION & PERFORMANCE,53509,COMPUTER MAINTANACE,5108,05H.CDBG,"2,325.00",0.00,"2,325.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,51227,40015,Project Fund 2015 Bond Issue,  4030092015,PENNDOT LOCAL SHARE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","5,921.74",0.00,"5,921.74"
19226,"MATCON DIAMOND, INC.",OS,50247,40114,TIP PROJECTS,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","385,901.26",0.00,"385,901.26"
19226,"MATCON DIAMOND, INC.",OS,50247,40114,TIP PROJECTS,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","120,000.00",0.00,"120,000.00"
19226,"MATCON DIAMOND, INC.",OS,50247,40114,TIP PROJECTS,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","109,635.06",0.00,"109,635.06"
19226,"MATCON DIAMOND, INC.",OS,50247,40015,Project Fund 2015 Bond Issue,  4023304106,NEGLEY AVENUE,54207,CONSTRUCTION,1419,"MAINT. ,REPAIR &  OPERATIONAL","3,884.08",0.00,"3,884.08"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,51265,40015,Project Fund 2015 Bond Issue,  4030092015,PENNDOT LOCAL SHARE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","42,658.44",0.00,"42,658.44"
205055,SAI CONSULTING ENGINEERS INC,OS,43924,40015,Project Fund 2015 Bond Issue,  4026736308,RECONSTRUCTION OF FORBES AVE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","12,426.71",0.00,"12,426.71"
158721,ROSEDALE BLOCK CLUSTER,OS,51268,26010,CDBG FUND,  0224508120,ROSEDALE BLOCK CLUSTER,58101,GRANTS,5100,05.CDBG,"10,000.00",0.00,"10,000.00"
7109,"HDR ENGINEERING, INC.",OS,48201,40114,TIP PROJECTS,  4026737709,GREENFIELD AVENUE BRIDGE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","329,815.08",0.00,"329,815.08"
7109,"HDR ENGINEERING, INC.",OS,48201,40114,TIP PROJECTS,  4026737709,GREENFIELD AVENUE BRIDGE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","61,840.33",0.00,"61,840.33"
7109,"HDR ENGINEERING, INC.",OS,48201,40114,TIP PROJECTS,  4026737709,GREENFIELD AVENUE BRIDGE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","20,613.44",0.00,"20,613.44"
1145,MACKIN ENGINEERING CO.,OS,50561,40015,Project Fund 2015 Bond Issue,  4435200100,NEIGHBORHOOD STREET IMPROV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","9,461.56",0.00,"9,461.56"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,51308,40015,Project Fund 2015 Bond Issue,  4030092015,PENNDOT LOCAL SHARE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","22,478.40",0.00,"22,478.40"
320826,ROSEDALE BLOCK CLUSTER/POISE FOUNDATION,OS,51324,26010,CDBG FUND,  0123279140,POISE FOUNDATION- HOPE FUND,58101,GRANTS,5104,05D.CDBG,"14,600.00",0.00,"14,600.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,51326,40015,Project Fund 2015 Bond Issue,  4030092015,PENNDOT LOCAL SHARE,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","189,796.00",0.00,"189,796.00"
67328,URA OF PITTSBURGH,OS,51348,26010,CDBG FUND,  8226750150,CENTER FOR INNOVATION & ENTREP,58101,GRANTS,5050,CDBG ONLY,"200,000.00",0.00,"200,000.00"
67328,URA OF PITTSBURGH,OS,51348,26010,CDBG FUND,  8226750150,CENTER FOR INNOVATION & ENTREP,58101,GRANTS,5050,CDBG ONLY,"1,818,000.00",0.00,"1,818,000.00"
314472,LARIMER CONSENSUS GROUP/KINGSLEY ASSN.,OS,51384,26010,CDBG FUND,  0223348140,LARIMER CONSENSUS GROUP,58101,GRANTS,5156,20.CDBG,"2,500.00",0.00,"2,500.00"
9149,LGA PARTNERS LP,OS,48831,40014,2014 PAYGO,  4426739910,ARCHITECTURAL ENG SERV,54205,ENGINEERING,1419,"MAINT. ,REPAIR &  OPERATIONAL","2,500.00",0.00,"2,500.00"
304977,COMMONWEALTH OF PA.- PENN.D.O.T.,OS,45133,26010,CDBG FUND,  4033041060,PENN AVE DESIGN,58101,GRANTS,5088,03K.CDBG,"14,000.00",0.00,"14,000.00"
