Address Number,Alpha Name,Contract Number,Fund ,Cst Ctr / Job,Obj Acct,2nd Item Number,Purchase Order Detail Line Number,Extended Price,Amount Received,Amount Open,Amount Vouchered,Voucher Line Number
9370,MS CONSULTANTS INC,36294,26010,  4067240050,53901,1156,1,"$7,588.94 ",$0.00 ,$0.00 ,,
9370,MS CONSULTANTS INC,36295,40001,  4423303501,53901,1156,4,"$2,055.75 ",$0.00 ,$0.00 ,,
9370,MS CONSULTANTS INC,36295,40001,  4423303501,53901,1156,1,$8.68 ,$0.00 ,$0.00 ,,
9370,MS CONSULTANTS INC,36295,40001,  4423303501,53901,1156,2,$15.77 ,$0.00 ,$0.00 ,,
9370,MS CONSULTANTS INC,36295,40001,  4423303501,53901,1156,3,"$2,031.30 ",$0.00 ,$0.00 ,,
66541,"PARADIGM 4, INC.",37017,11101,      230000,53901,1154,1,"$10,146.56 ",$0.00 ,$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,10,"$65,625.03 ","$60,000.03 ","$5,625.00 ",,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,1154,3,"$2,695.83 ","$2,695.83 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,1154,1,"$2,695.83 ","$2,695.83 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,561800,2,"$60,000.00 ","$60,000.00 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,561800,4,"$25,000.00 ","$25,000.00 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,5,"$5,208.34 ","$5,208.34 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,6,"$5,208.34 ","$5,208.34 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,7,"$36,458.38 ","$36,458.38 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,8,"$62,500.08 ","$51,691.74 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,11101,      999900,54501,556410,9,"$64,791.71 ","$64,791.71 ",$0.00 ,,
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,625.00 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,625.00 ",10
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$2,695.83 ",3
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$2,695.83 ",1
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$2,304.17 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$2,304.17 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,$391.66 ,2
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$4,608.34 ",4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,000.00 ",4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,$391.66 ,4
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",5
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",6
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",7
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$4,816.68 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",8
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,208.34 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47256,"ASSOCIATED INVESTORS, INC.",37975,,,,,,,,,"$5,416.67 ",9
47791,ALLEGHENY UNIVERSITY OF HEALTH SCIENCES,37996,11101,      230000,53901,1154,1,"$116,000.00 ",$0.00 ,$0.00 ,,
63034,ASTEC INDUSTRIES,38593,11101,      420000,53901,1154,1,"$15,800.00 ",$0.00 ,$0.00 ,,
63265,"FARBEN, INC.",38634,40001,  0141003012,53901,1154,1,"$2,259.74 ",$0.00 ,$0.00 ,,
64122,SMITH & BOWEN,38763,28050,      500000,54501,1154,2,"$2,800.00 ",$0.00 ,"$2,800.00 ",,
64122,SMITH & BOWEN,38763,11101,      500000,54501,1154,1,"$2,800.00 ",$0.00 ,$0.00 ,,
40415,FORD & COUNCIL,39401,11101,      109000,52301,1154,1,"$37,851.70 ",$0.00 ,$0.00 ,,
73754,SCIENTIFIC-PGH./R. BAKER & A. MARCINKO,39486,24040,      230000,54501,1154,3,"$1,670.00 ",$0.00 ,"$1,670.00 ",,
73754,SCIENTIFIC-PGH./R. BAKER & A. MARCINKO,39486,11101,      230000,54501,1154,1,$455.00 ,$0.00 ,$0.00 ,,
73754,SCIENTIFIC-PGH./R. BAKER & A. MARCINKO,39486,11101,      230000,54501,1154,2,"$1,670.00 ",$0.00 ,$0.00 ,,
19283,ROCCO & STRAIN,40178,24062,      110000,57201,1155,2,"$2,100.00 ",$0.00 ,$0.00 ,,
19283,ROCCO & STRAIN,40178,11101,      110000,57201,1155,1,"$2,100.00 ",$0.00 ,$0.00 ,,
84209,"SEBASTIAN, EDWARD H.",40446,40001,  0141004012,53901,1154,1,"$2,272.85 ",$0.00 ,$0.00 ,,
83798,FAIRHAVEN GREENWAY TASK FORCE,40991,40001,  0141004012,53901,1154,1,$500.00 ,$0.00 ,$0.00 ,,
83798,FAIRHAVEN GREENWAY TASK FORCE,40992,40001,  0141004012,53901,1154,1,$975.35 ,$0.00 ,$0.00 ,,
107663,"DAH PARTNERS, L.P.",41341,11101,      230000,54501,1154,4,"$1,302.15 ",$0.00 ,"$1,302.15 ",,
107663,"DAH PARTNERS, L.P.",41341,11101,      230000,54501,1154,3,"$4,047.70 ",$0.00 ,$0.00 ,,
107663,"DAH PARTNERS, L.P.",41341,11101,      230000,54501,1154,1,"$14,578.14 ","$10,530.44 ",$0.00 ,,
107663,"DAH PARTNERS, L.P.",41341,11101,      420000,54501,1154,2,"$5,196.97 ","$3,894.82 ",$0.00 ,,
107663,"DAH PARTNERS, L.P.",41341,,,,,,,,,"$10,530.44 ",1
107663,"DAH PARTNERS, L.P.",41341,,,,,,,,,"$3,894.82 ",2
113337,"FACTICON, INC.",41679,11101,      108000,53901,1154,1,"$24,530.00 ",$0.00 ,$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53525,523600,8,"$350,000.00 ","$307,203.26 ","$42,796.74 ",,
295438,"CERIDIAN HCM, INC.",42011,11101,      999200,53901,1154,2,"$135,891.34 ","$72,044.91 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      999200,53901,1154,1,"$297,337.09 ","$161,445.75 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53901,1154,3,"$63,846.43 ","$41,777.70 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53525,523600,4,"$700,000.00 ","$700,000.00 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53525,523600,5,"$63,846.43 ","$63,846.43 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53525,523600,6,"$350,000.00 ","$350,000.00 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,11101,      109000,53525,523600,7,"$350,000.00 ","$350,000.00 ",$0.00 ,,
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,868.93 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$200.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$186.86 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$464.43 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$923.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$23,188.47 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$320.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$603.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,542.64 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$23,210.13 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$199.32 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$30,599.99 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$199.32 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$2,275.89 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$16,238.96 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$156.23 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,362.15 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,376.41 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,291.43 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,800.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$310.63 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$186.86 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$800.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$333.94 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$923.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$13,169.86 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$199.32 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$16,395.19 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$218.74 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,867.20 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$186.86 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$379.98 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$15,068.12 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$352.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$219.26 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$663.30 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$868.99 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$18,105.05 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$326.59 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,117.22 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$20,484.40 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,000.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,903.61 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,849.56 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,150.55 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$205.55 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$727.55 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$2,263.64 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,822.51 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$17,863.20 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,500.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,650.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$24,326.94 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$3,310.48 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$252.62 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$526.00 ,8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,500.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,500.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,500.00 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$2,747.38 ",8
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$10,824.78 ",2
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$34,355.10 ",2
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,324.99 ",2
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,876.52 ",2
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$9,663.52 ",2
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$106,385.71 ",1
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$10,406.11 ",1
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$37,752.46 ",1
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,901.47 ",1
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$33,088.10 ",3
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,689.60 ",3
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$29,488.35 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$15,371.60 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$34,507.44 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$15,706.29 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$33,606.73 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,427.17 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,729.26 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$9,602.80 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$33,973.53 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,738.44 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$9,274.39 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$27,619.51 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,256.37 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$31,451.13 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$15,187.15 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$15,898.97 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$34,791.69 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$34,848.98 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$16,459.43 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$16,221.49 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,349.59 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$11,163.99 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,950.83 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$48,531.24 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$5,955.21 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$551.88 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$179.61 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,125.29 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$2,943.25 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$14,501.25 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$191.58 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$517.72 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$4,427.65 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$89.81 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$179.61 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$830.38 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$700.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$948.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$13,227.38 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$191.58 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$350.20 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$8,589.15 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$14,255.89 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$191.58 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$179.61 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$549.14 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$17,501.63 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$948.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$89.81 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$179.61 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$306.30 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,382.27 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$567.10 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,369.99 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,377.41 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,241.01 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$191.58 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$517.79 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,734.38 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$948.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$13,215.08 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$191.58 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$696.93 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$214.40 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,557.05 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$5,948.58 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$1,033.46 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$89.81 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$179.61 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$652.21 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$485.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$14,148.79 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$487.55 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$663.34 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,073.62 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$2,185.09 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$5,998.49 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,061.59 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$4,435.39 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$89.81 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$948.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$140.00 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,$537.09 ,4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$6,827.44 ",4
295438,"CERIDIAN HCM, INC.",42011,,,,,,,,,"$7,965.30 ",4
