Contract Type,Agreement #,JDE Vendor #,Submitting Department/Division,Vendor Name,Start Date,End Date,Executive Action #,Box #,Transaction Type,Year,Requestor Email,Contract Status,OK to Show Web
OU,48439,2160165,MEDICAL EXAMINER,LODOX NA LLC,2/1/2015,1/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48463,CITY ONLY,PURCHASING,MICHAEL FACCHIANO CONTR CO,2/1/2015,1/31/2016,,255,,,,CONTRACT REVIEW,Y
OU,174406,139957,HUMAN SERVICES,UNIVERSITY OF PGH,2/1/2015,6/30/2017,,255,,,,CONTRACT REVIEW,Y
PI,48274,952756,PURCHASING,ADAPCO INC,2/1/2015,1/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48273,140415,PURCHASING,UNIVAR USA,2/1/2015,1/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48268,687706,PURCHASING,CLARK MOSQUITO CONTROL,2/1/2015,1/31/2016,,255,,,,CONTRACT REVIEW,Y
OJ,173512,555555,PUBLIC WORKS CAPITAL,PA DEPT OF TRANSPORTATION,2/1/2015,2/1/2016,709214,254,,,,CONTRACT REVIEW,Y
OJ,173519,135834,JAIL,PGH ACTION AGAINST RAPE,2/1/2015,2/1/2018,550115,254,,,,CONTRACT REVIEW,Y
OU,173353,139958,HEALTH,UNIVERSITY OF PITTSBURGH,2/1/2015,2/28/2015,5372-15,254,,,,CONTRACT REVIEW,Y
OU,173500,128308,HUMAN SERVICES,GOODWILL OF SOUTHWESTERN PENNS,2/1/2015,1/31/2016,5211-15,254,,,,CONTRACT REVIEW,Y
OU,172852,2146858,COURT OF COMMON PLEAS,KRANCE ANTHONY,2/1/2015,1/31/2016,5210-15,253,,,,CONTRACT REVIEW,Y
OU,172937,2146841,COURT OF COMMON PLEAS,RAGO JOHN T,2/1/2015,1/31/2016,5213-15,253,,,,CONTRACT REVIEW,Y
OU,172935,2148525,MEDICAL EXAMINER,CONSERVATIVE ENVIRONMENTAL SER,2/1/2015,1/31/2016,5161-15,253,,,,CONTRACT REVIEW,Y
OU,173047,123253,HUMAN SERVICES,BETHLEHEM HAVEN,2/1/2015,1/31/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,172916,121563,HUMAN SERVICES,ACTION HOUSING  INC,2/1/2015,1/31/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,172911,121563,HUMAN SERVICES,ACTION HOUSING  INC,2/1/2015,1/31/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,172642,2150505,HEALTH,FONTELO MARIE CHRISTINE,2/1/2015,5/31/2015,5326-15,253,,,,CONTRACT REVIEW,Y
OU,172611,122805,HUMAN SERVICES,AUBERLE HOME,2/1/2015,1/31/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,172620,141225,HUMAN SERVICES,ALLEGHENY VALLEY ASSOC OF CHUR,2/1/2015,1/31/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,172510,141119,HUMAN SERVICES,YWCA OF GREATER PGH,2/1/2015,1/31/2016,5211-15,252,,,,CONTRACT REVIEW,Y
PI,3247,CITY ONLY,PURCHAISNG,FLETCHER SALES & SERV INC,2/1/2015,1/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,48439,2160165,PURCHASING,LODOX SYSTEMS,2/1/2015,1/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,3248,1151746,PURCHASING,CROWTHER & PORTER,2/1/2015,1/31/2016,,252,,,,CONTRACT REVIEW,Y
OU,172194,2151937,HUMAN SERVICES,ROUVALIS CRISTINA,2/1/2015,6/30/2017,5146-15,251,,,,CONTRACT REVIEW,Y
OU,171597,748131,COURT OF COMMON PLEAS,MOTHERS AGAINST DRUNK DRIVING,2/1/2015,1/31/2017,5051-15,251,,,,CONTRACT REVIEW,Y
PI,48432,CITY ONLY,PURCHAISNG,ST.MORITZ SECURITY SERV,2/1/2015,10/31/2017,,251,,,,CONTRACT REVIEW,Y
OU,171317,2151415,NON-DEPT EXPENDITURES,POWERPLAN CORPORATION,2/1/2015,1/31/2017,5136-15,251,,,,CONTRACT REVIEW,Y
OU,172270,1512624,COURT OF COMMON PLEAS,BEATTIE CHESTER,2/2/2015,9/30/2015,5057-15,253,,,,CONTRACT REVIEW,Y
OU,173345,2161288,COURT OF COMMON PLEAS,UIP ASSOCIATES,2/3/2015,1/31/2015,5516-15,270,,,,CONTRACT REVIEW,Y
OU,173345,2161288,COURT OS COMMON PLEAS,UIP ASSOCIATES,2/3/2015,1/31/2018,5516-15,261,,,,CONTRACT REVIEW,Y
OU,173345,2161288,COURT OF COMMON PLEAS,UIP ASSOCIATES,2/3/2015,1/31/2018,5516-15,253,,,,CONTRACT REVIEW,Y
OU,175869,99999999,ECONOMIC DEVELOPMENT,TREASURER OF ALLEG CO,2/5/2015,12/31/2015,5345-15,256,,,,CONTRACT REVIEW,Y
OJ,172407,2159048,FACILITIES MANAGEMENT,MASSARO CORPORATION,2/6/2015,2/6/2025,5221-15,253,,,,CONTRACT REVIEW,Y
OJ,176504,555555,PUBLIC WORKS CAPITAL,PENN DOT,2/10/2015,2/10/2020,5410-15,257,,,,CONTRACT REVIEW,Y
OU,179063,123437,PUBLIC WORKS CAPITAL,PITTSBURGH BOARD OF PUBLIC EDU,2/11/2015,2/11/2015,5370-15,263,,,,CONTRACT REVIEW,Y
OU,173491,2163127,PUBLIC WORKS CAPITAL,GRIMM MATTHEW A,2/11/2015,2/11/2025,5370-15,254,,,,CONTRACT REVIEW,Y
PI,48422,853552,PURCHASING,POTTERS INDUSTRIES INC,2/11/2015,11/30/2016,,251,,,,CONTRACT REVIEW,Y
OJ,174528,555555,PUBLIC WORKS CAPITAL,DEFAULT VENDOR,2/15/2015,12/31/2015,5322-15,255,,,,CONTRACT REVIEW,Y
PI,48534,CITY ONLY,PURCHASING,SMARDT EQUIPMENT,2/16/2015,2/15/2016,,261,,,,CONTRACT REVIEW,Y
PI,48377,1821966,PURCHASING,84 LUMBER CO,2/16/2015,2/16/2016,,256,,,,CONTRACT REVIEW,Y
PI,48496,140203,PURCHASING,VERMEER SALES & SERVICES,2/16/2015,2/16/2016,,256,,,,CONTRACT REVIEW,Y
PI,47521,199121,PURCHSING,CITY LIGHTING PRODUCTS  CO,2/17/2015,2/16/2016,,253,,,,CONTRACT REVIEW,Y
OU,172063,2136281,KANE REGIONAL CENTERS,REPUBLIC SERVICES INC,2/19/2015,5/31/2018,5291-15,251,,,,CONTRACT REVIEW,Y
OU,174590,136336,ECONOMIC DEVELOPMENT,QUAKER VALLEY COG,2/20/2015,2/19/2016,6509-15,269,,,,CONTRACT REVIEW,Y
OJ,180341,1013239,PUBLIC WORKS CAPITAL,PUBLIC PARKING AUTHORITY,2/20/2015,2/20/2025,5465-15,268,,,,CONTRACT REVIEW,Y
OU,174590,136336,ECONOMIC DEVELOPMENT,QUAKER VALLEY COG,2/20/2015,2/19/2016,5443-15,256,,,,CONTRACT REVIEW,Y
OJ,173461,2151942,PUBLIC WORKS OPERATING,CBS FILMS INC DBA CBS FILMS LE,2/23/2015,2/26/2015,54415-155402-15,254,,,,CONTRACT REVIEW,Y
OJ,173461,2151942,PUBLIC WORKS OPERATING,CBS FILMS INC DBA CBS FILMS LE,2/23/2015,2/25/2015,54415-15,254,,,,CONTRACT REVIEW,Y
OU,171556,139859,ECONOMIC DEVELOPMENT,TURTLE CREEK VALLEY COG,2/23/2015,11/15/2015,5149-15,251,,,,CONTRACT REVIEW,Y
OU,173315,2094575,TREASURER,DINSMORE  SHOHL LLP,2/25/2015,2/24/2016,5344-15,254,,,,CONTRACT REVIEW,Y
OS,172175,816761,PUBLIC WORKS CAPITAL,PUGLIANO CONSTRUCTION CO. INC.,3/1/2015,12/31/2015,6795-14,270,,,,CONTRACT REVIEW,Y
OU,182626,133695,HUMAN SERVICES,MERCY LIFE CENTER CORP DBA MER,3/1/2015,9/30/2017,6688-15,270,,,,CONTRACT REVIEW,
OU,175957,136403,HEALTH,R J LEE GROUP INC,3/1/2015,2/28/2017,5531-15,270,,,,CONTRACT REVIEW,Y
OU,172079,2152522,COURT OF COMMON PLEAS,GE REAL ESTATE MNGMT SERV INC,3/1/2015,12/31/2015,5316-15,270,,,,CONTRACT REVIEW,Y
OU,174518,1520497,JAIL,ACCENT ELECTRONIC SYSTEMS INTE,3/1/2015,2/28/2017,542915,269,,,,CONTRACT REVIEW,Y
OJ,179281,1603889,PARKS,HIGHLANDS AREA SOCCER CLUB,3/1/2015,2/28/2015,5797-15,264,,,,CONTRACT REVIEW,Y
OU,179162,1636833,COURT OF COMMON PLEAS,MULTI-HEALTH SYSTEMS INC DBA M,3/1/2015,2/28/2017,6102-15,263,,,,CONTRACT REVIEW,Y
OU,173303,125026,HEALTH,ROHM CONSTANCE DMD,3/1/2015,3/1/2015,42794,263,,,,CONTRACT REVIEW,Y
OU,172837,2151463,JUVENILE COURT PLACEMENT,SALLY A THOMAS DBA SALLY THOMA,3/1/2015,12/31/2015,5301-15,263,,,,CONTRACT REVIEW,Y
PI,48545,2199033,PURCHASING,KOLDCRAFT REFRIGERATION,3/1/2015,2/28/2017,,263,,,,CONTRACT REVIEW,Y
PI,48544,1123945,PURCHASING,WAYNE CROUSE INC,3/1/2015,2/28/2017,,263,,,,CONTRACT REVIEW,Y
OU,174518,1520497,JAIL,ACCENT ELECTRONIC SYSTEMS INTE,3/1/2015,2/28/2017,5429-15,263,,,,CONTRACT REVIEW,Y
OU,178322,1136082,PARKS,USDA APHIS WILDLIFE SERVICES,3/1/2015,2/28/2016,5362-15,261,,,,CONTRACT REVIEW,Y
OU,175957,136403,HEALTH,R J LEE GROUP INC,3/1/2015,2/28/2017,5531-15,261,,,,CONTRACT REVIEW,Y
OU,172837,2151463,JUVENILE COURT PLACEMENT,SALLUY A THOMAS,3/1/2015,12/31/2015,5301-15,260,,,,CONTRACT REVIEW,Y
OU,177764,2160440,HUMAN SERVICES,SEATE MINETTE,3/1/2015,6/30/2016,5665-15,259,,,,CONTRACT REVIEW,Y
OS,177100,125205,PUBLIC WORKS CAPITAL,CSX TRANSPORTATION INC,3/1/2015,12/31/2016,5373-15,257,,,,CONTRACT REVIEW,Y
OJ,176505,555555,PUBLIC WORKS CAPITAL,PENN DOT,3/1/2015,3/1/2016,5441-15,257,,,,CONTRACT REVIEW,Y
OU,175622,2193328,FACILITIES MANAGEMENT,CHRISLYNN ENERGY SERVICES INC,3/1/2015,2/29/2016,531815,256,,,,CONTRACT REVIEW,Y
OJ,175926,555555,PARKS,RICHARD KING,3/1/2015,11/30/2015,5657-15,256,,,,CONTRACT REVIEW,Y
OU,175730,124156,ECONOMIC DEVELOPMENT,CATHOLIC CHARITIES OF THE,3/1/2015,2/29/2016,5388-15,256,,,,CONTRACT REVIEW,Y
OU,175957,136403,HEALTH,R J LEE GROUP INC,3/1/2015,2/28/2017,5531-15,256,,,,CONTRACT REVIEW,Y
OU,175399,2003587,HEALTH,GO BEYOND LLC,3/1/2015,2/28/2016,5413-15,256,,,,CONTRACT REVIEW,Y
OU,175435,2163008,HEALTH,JANG DANIEL,3/1/2015,2/28/2016,5565-15,256,,,,CONTRACT REVIEW,Y
PI,48483,131510,PURCHAISNG,STERLING PAPER,3/1/2015,10/31/2015,,255,,,,CONTRACT REVIEW,Y
OU,174571,99999999,ECONOMIC DEVELOPMENT,TREASURER OF ALLEG CO,3/1/2015,2/29/2016,5386-15,255,,,,CONTRACT REVIEW,Y
OU,174518,1520497,JAIL,ACCENT ELECTRONIC SYSTEMS INTE,3/1/2015,2/28/2017,5429-15,255,,,,CONTRACT REVIEW,Y
OU,174470,2177567,PARKS,NARR BAILEY,3/1/2015,7/30/2015,5070-15,255,,,,CONTRACT REVIEW,Y
OU,174466,2177568,PARKS,NARR BROOKE,3/1/2015,7/30/2015,5070-15,255,,,,CONTRACT REVIEW,Y
PI,48369,918784,PURCHASING,GATEWAY PAINTS & CHEMICAL,3/1/2015,2/29/2016,,255,,,,CONTRACT REVIEW,Y
OU,173303,125026,HEALTH,ROHM CONSTANCE DMD,3/1/2015,2/28/2017,5389-15,254,,,,CONTRACT REVIEW,Y
OU,173470,1568060,HEALTH,MART(OTEL LTD PARTNRSHP DBA D,3/1/2015,11/30/2015,5327-15,254,,,,CONTRACT REVIEW,Y
OU,173214,140282,HUMAN SERVICES,VETERANS LEADERSHIP PROGRAM OF,3/1/2015,2/28/2016,5223-15,253,,,,CONTRACT REVIEW,Y
OU,172837,2151463,JUVENILE COURT PLACEMENT,SALLY A THOMAS DBA SALLY THOMA,3/1/2015,12/31/2015,5301-15,253,,,,CONTRACT REVIEW,Y
OU,173031,124929,HUMAN SERVICES,COMMUNITY HUMAN SERVICES CORP,3/1/2015,2/28/2016,5385-15,253,,,,CONTRACT REVIEW,Y
PI,48364,2147334,PURCHASING,PPG ARCHITECTURAL FINISHES,3/1/2015,2/29/2016,,253,,,,CONTRACT REVIEW,Y
OU,172079,2152522,COURT OF COMMON PLEAS,GE REAL ESTATE MNGMT SERV INC,3/1/2015,12/31/2015,5316-15,253,,,,CONTRACT REVIEW,Y
OS,172175,816761,PUBLIC WORKS CAPITAL,PUGLIANO CONSTRUCTION CO. INC.,3/1/2015,12/31/2015,6795-14,253,,,,CONTRACT REVIEW,Y
PI,48442,CITY ONLY,PURCHASING,A FOLINO CONSTRUCTION,3/1/2015,2/28/2016,,253,,,,CONTRACT REVIEW,Y
OU,172480,1172212,ADMINISTRATIVE SERVICES,EKTRON INC,3/1/2015,11/4/2017,,253,,,,CONTRACT REVIEW,Y
OU,172508,141225,HUMAN SERVICES,ALLEGHENY VALLEY ASSOC OF CHUR,3/1/2015,2/28/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,172513,141007,HUMAN SERVICES,WOMANSPACE EAST  INC,3/1/2015,2/28/2016,5217-15,252,,,,CONTRACT REVIEW,Y
OU,172512,141119,HUMAN SERVICES,YWCA OF GREATER PGH,3/1/2015,2/28/2016,5211-15,252,,,,CONTRACT REVIEW,Y
OU,172079,2152522,COURT OF COMMON PLEAS,GE REAL ESTATE MNGMT SERV INC,3/1/2015,12/31/2015,5316-15,252,,,,CONTRACT REVIEW,Y
PI,48079,790049,PURCHASING,UNIFORMS MANUFACTURING,3/1/2015,2/29/2016,,251,,,,CONTRACT REVIEW,Y
PI,48065,CITY ONLY,PURCHASING,RENOSYS CORP,3/1/2015,2/28/2016,,251,,,,CONTRACT REVIEW,Y
OU,171680,2151400,COURT RECORDS,BANC OF AMERICA N.A. DBA BANK,3/1/2015,12/1/2017,5306-15,251,,,,CONTRACT REVIEW,Y
PI,48081,1101896,PURCHASING,CAROLINA TEXTILES,3/1/2015,2/29/2016,,251,,,,CONTRACT REVIEW,Y
PI,48080,128290,PURCHASING,GOLD WATER INDUSTRIESINC,3/1/2015,2/28/2016,,250,,,,CONTRACT REVIEW,Y
OJ,176405,1761795,HEALTH,CHATHAM UNIVERSITY,3/3/2015,2/28/2020,5566-15,257,,,,CONTRACT REVIEW,Y
OS,178081,1435771,PUBLIC WORKS CAPITAL,UNION RAILROAD CO,3/4/2015,12/31/2017,5488-15,259,,,,CONTRACT REVIEW,Y
OU,173501,2163049,HEALTH,YEARICK MILLEA INC,3/9/2015,12/31/2015,5382-15,254,,,,CONTRACT REVIEW,Y
OU,176056,2160372,JAIL,JAIL EDUCATION SOLUTIONS INC,3/10/2015,5/31/2016,5783-15,256,,,,CONTRACT REVIEW,Y
OJ,173815,1523297,PUBLIC WORKS OPERATING,CONSOLIDATED COMMUNICATIONS SE,3/10/2015,3/10/2025,5448-15,255,,,,CONTRACT REVIEW,Y
PI,48455,2163005,PURCHASING,APPLE 200 EISENHOWER,3/11/2015,3/11/2016,,255,,,,CONTRACT REVIEW,Y
OU,182366,2229755,HEALTH,FLEETCOR TECHNOLOGIES INC DBA,3/12/2015,3/31/2017,,270,,,,CONTRACT REVIEW,Y
OU,176684,2151863,PUBLIC WORKS CAPITAL,NUTTALL GOLF CARS INC,3/14/2015,3/13/2019,5331-15,257,,,,CONTRACT REVIEW,Y
OJ,173970,2151939,PARKS,TRUE NORTH WILDERNESS SURVIVAL,3/16/2015,3/15/2016,5417-15,255,,,,CONTRACT REVIEW,Y
PI,48502,CITY ONLY,PURCHASING,PETROLLEUM TECHNICAL SERVICES,3/17/2015,3/16/2016,,256,,,,CONTRACT REVIEW,Y
OU,177834,2152257,HUMAN SERVICES,THE COURSER GROUP LLC DBA PRED,3/30/2015,3/30/2018,5361-15,260,,,,CONTRACT REVIEW,Y
PI,48275,1555606,PURCHASING,HEI-WAY LLC,3/31/2015,3/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,48269,137555,PURCHASING,RUSSELL STANDARD CORP,3/31/2015,3/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,48277,199092,PURCHASING,THE LANE CONSTRUCTION CORP,3/31/2015,3/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,48266,139783,PURCHASING,TRESCO PAVING CORP,3/31/2015,3/31/2016,,252,,,,CONTRACT REVIEW,Y
PI,48265,121902,PURCHASING,LINDY PAVING INC,3/31/2015,3/31/2016,,252,,,,CONTRACT REVIEW,Y
OS,172528,133806,PUBLIC WORKS CAPITAL,MICHAEL FACCHIANO CONTRACTING,4/1/2015,10/30/2015,6797-15,270,,,,CONTRACT REVIEW,Y
PI,48276,CITY ONLY,PURCHASING,MAATCON DIAMOND,4/1/2015,3/31/2016,5186-15,270,,,,CONTRACT REVIEW,Y
PI,48553,128048,PURCHASING,GEORGE M HALL CO,4/1/2015,3/31/2016,,270,,,,CONTRACT REVIEW,Y
OU,174527,141255,HUMAN SERVICES,PORT AUTHORITY,4/1/2015,6/30/2016,6589-15,270,,,,CONTRACT REVIEW,Y
PI,48590,2224513,PURCHASING,SIR SPEEDY PRINTING & MARKETING,4/1/2015,3/31/2016,,269,,,,CONTRACT REVIEW,Y
OJ,181243,555555,PUBLIC WORKS CAPITAL,VERIZON,4/1/2015,12/31/2017,5435-15,269,,,,CONTRACT REVIEW,Y
PI,48578,1172208,PURCHASING,IBISTEK,4/1/2015,3/31/2016,,268,,,,CONTRACT REVIEW,Y
PI,48577,1523121,PURCHASING,LEWAY ENTERPRISES,4/1/2015,3/31/2016,,268,,,,CONTRACT REVIEW,Y
OU,48567,134863,KANE REGIONAL CENTERS,NORTH STAR COMMUNICATIONS,4/1/2015,3/31/2016,6337-15,268,,,,CONTRACT REVIEW,Y
PI,48562,CITY ONLY,PURCHASING,HENRY SCHEIN INC,4/1/2015,3/31/2016,,267,,,,CONTRACT REVIEW,Y
PI,48564,CITY ONLY,PURCHASING,MIDWEST MEDICAL SUPPLY,4/1/2015,3/31/2016,,267,,,,CONTRACT REVIEW,Y
PI,48563,CITY ONLY,PURCHASING,DREAM POOLS & SPAS,4/1/2015,3/31/2016,,267,,,,CONTRACT REVIEW,Y
OS,172528,133806,PUBLIC WORKS CAPITAL,MICHAEL FACCHIANO CONTRACTING,4/1/2015,10/30/2015,5984-15,,,,,CONTRACT REVIEW,Y
OU,179285,781015,PARKS,STUDENT CONSERVATION ASSOCIATI,4/1/2015,11/22/2015,6244-15,264,,,,CONTRACT REVIEW,Y
PI,48553,CITY ONLY,PURCHAISNG,GEORGE M HALL CO,4/1/2015,3/31/2016,6256-15,264,,,,CONTRACT REVIEW,Y
PI,48556,CITY ONLY,PURCHASING,SAI CHEMICALS,4/1/2015,3/31/2016,6173-15,264,,,,CONTRACT REVIEW,Y
PI,48541,CITY ONLY,PURCHASING,BOUND TREE MEDICAL,4/1/2015,3/31/2016,,262,,,,CONTRACT REVIEW,Y
PI,48542,CITY ONLY,PURCHASING,BENTLEY TREE CARE,4/1/2015,3/31/2016,,262,,,,CONTRACT REVIEW,Y
PI,48533,CITY ONLY,PURCHASING,EVER READY FIRST AID,4/1/2015,3/31/2016,,261,,,,CONTRACT REVIEW,Y
OU,177339,125222,EMERGENCY MANAGEMENT,CUMMINS BRIDGEWAY LLC,4/1/2015,3/31/2018,5975-15,258,,,,CONTRACT REVIEW,Y
OJ,177330,555555,PUBLIC WORKS CAPITAL,FIBERTECH NETWORK INC,4/1/2015,12/31/2017,5487-15,258,,,,CONTRACT REVIEW,Y
OU,177285,1115153,HUMAN SERVICES,COOPERATIVE PERSONNEL SERVICES,4/1/2015,6/30/2016,5612-15,258,,,,CONTRACT REVIEW,Y
OU,177027,2160158,PARKS,COMMUNITY FOR PGH ULTIMATE,4/1/2015,3/31/2016,5467-15,257,,,,CONTRACT REVIEW,Y
PI,3196,CITY ONLY,PURCHASAING,SPLASH WATER SPORTS,4/1/2015,3/31/2016,,257,,,,CONTRACT REVIEW,Y
PI,48340,CITY ONLY,PURCHAISNG,POWELL MECHANICAL,4/1/2015,3/31/2016,,257,,,,CONTRACT REVIEW,Y
OJ,176320,1809602,PARKS,WALTER JOHN G DBA STEEL CITY S,4/1/2015,3/31/2016,5610-15,257,,,,CONTRACT REVIEW,Y
OJ,176338,2160163,PARKS,GRAY DAVID L DBA CHAMPION YOUT,4/1/2015,3/31/2016,5494-15,257,,,,CONTRACT REVIEW,Y
OJ,176341,2160159,PARKS,THE PILATES CENTER OF PITTSBUR,4/1/2015,3/31/2016,5490-15,257,,,,CONTRACT REVIEW,Y
OU,176344,2178576,PARKS,HANLEY KIMBERLY S,4/1/2015,3/31/2016,5602-15,257,,,,CONTRACT REVIEW,Y
PI,48284,CITY ONLY,PURCHASING,CASTRIOTA METALS & RECYCLING,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
OJ,175872,1027121,EMERGENCY MANAGEMENT,ALLEGHENY COUNTY AIRPORT AUTHO,4/1/2015,3/31/2025,5606-15,256,,,,CONTRACT REVIEW,Y
OU,175988,141086,HUMAN RESOURCES,YMCA OF PITTSBURGH,4/1/2015,3/30/2016,543315,256,,,,CONTRACT REVIEW,Y
PI,48495,134074,PURCAHSING,MOBILE RADIO SERV,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48497,CITY ONLY,PURCHASIGN,PHOENIX ROOFING,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48348,CITY ONLY,PURCHASING,SSM INDUSTRIES INC,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48488,CITY ONLY,PURCHASING,DAVEY TREE EXPERT CO,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
OU,175418,588068,HUMAN SERVICES,TRWIB INC,4/1/2015,9/30/2015,5504-15,256,,,,CONTRACT REVIEW,Y
PI,48485,CITY ONLY,PURCHASING,A MERANTE CONTRACTING INC,4/1/2015,3/31/2016,,256,,,,CONTRACT REVIEW,Y
PI,48474,CITY ONLY,PURCHASING,CARLS TREE SERVICE,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
PI,48475,CITY ONLY,PURCHASING,ALL RELIABLE SERVICE INC,4/1/2015,3/31/2016,,255,,,,CONTRACT REVIEW,Y
OJ,174515,2160161,PARKS,MONTGOMERY JAMES DBA ABETTERU,4/1/2015,3/31/2016,5447-15,255,,,,CONTRACT REVIEW,Y
